epoch,train_loss,val_loss,val_acc,test_loss,test_acc
1,0.20843519994210113,0.06799885371476412,0.9778,0.05184517911206931,0.9832
2,0.0580090146869421,0.04453601691275835,0.9848,0.03615053406185471,0.9878
3,0.0390040989687497,0.04552503786832094,0.9858,0.04009298004037701,0.9866
4,0.02980075963312252,0.045748821630049494,0.9856,0.03478865564453299,0.9888
5,0.023512611235068603,0.03836515630427748,0.988,0.03214299644536804,0.9886
6,0.01897997060450937,0.03297659593638964,0.9892,0.02786082149229187,0.9905
7,0.014918473317135464,0.03524988347399049,0.988,0.02763686016552965,0.9907
8,0.011334340409693224,0.030341653291264082,0.9926,0.028359648512216517,0.9903
9,0.010427236765738979,0.03396701038233586,0.9904,0.02797431419580025,0.9919
10,0.008666635450341909,0.03258380921255448,0.9918,0.03083825603950827,0.9919
11,0.006284745670440184,0.029487668665059027,0.9904,0.030182745407397668,0.9908
12,0.00496619949953747,0.04293402797598392,0.989,0.03417336637689841,0.9892
13,0.005666177211065819,0.03236895505108405,0.9918,0.03527969531980125,0.9904
14,0.005738890969741888,0.03147982537914067,0.9918,0.02762929853394362,0.9912
15,0.0031392474611592744,0.03188166248600246,0.9914,0.02972876320525522,0.9923
16,0.0035549039517852096,0.05073245143992481,0.9878,0.046259528520109686,0.9894
17,0.005206369136734347,0.0335818235711311,0.991,0.033059656700278627,0.9927
18,0.0031133182059697655,0.030896333854553815,0.9922,0.03476486788071004,0.9899
19,0.002609990273232833,0.026657012794051842,0.9932,0.030984452574040814,0.9931
20,0.0021650434793016302,0.02886471140015128,0.992,0.031245804986954978,0.9933
